@id	@lat	@lon	name	waterway	man_made	substance
885991039	21.1819632	83.2627993		ditch		
885991040	21.1861886	83.2530360		ditch		
885991041	21.1989624	83.2525108		ditch		
885991042	21.1996754	83.2518570		ditch		
885991043	21.1925454	83.2548123		ditch		
887985654	20.9471483	83.2040990		ditch		
887985655	20.9492136	83.2027150		ditch		
887985663	21.2271255	83.2539989		ditch		
887985664	21.2291307	83.2535295		ditch		
887985665	21.2247684	83.2575871		ditch		
887985666	21.2313521	83.2530467		ditch		
887985667	21.2283307	83.2639177		ditch		
887985668	21.2378662	83.2483099		ditch		
887985669	21.2382349	83.2473752		ditch		
887985670	21.2348248	83.2507307		ditch		
887985671	21.2447236	83.2728455		ditch		
887985672	21.2448262	83.2726684		ditch		
887985673	21.2447536	83.2712401		ditch		
887985674	21.2448074	83.2718182		ditch		
887985675	21.2448762	83.2724578		ditch		
887985676	21.2428961	83.2841617		ditch		
887985677	21.2447149	83.2686370		ditch		
887985678	21.2368334	83.2770082		ditch		
887985679	21.2448874	83.2699728		ditch		
887985680	21.2450186	83.2686693		ditch		
887985681	21.2450287	83.2684560		ditch		
887985682	21.2444462	83.2582717		ditch		
887985683	21.2463948	83.2634523		ditch		
887985684	21.2437312	83.2562171		ditch		
887985685	21.2440837	83.2572417		ditch		
887985694	21.2397024	83.2476381		ditch		
887985695	21.2392373	83.2467454		ditch		
887985696	21.2417387	83.2521441		ditch		
900532537	21.5301479	83.3963203		ditch		
900532538	21.5300794	83.3962553		ditch		
900532539	21.5338321	83.3980483		ditch		
900532541	21.5285084	83.3838708		ditch		
900532542	21.5282128	83.3830546		ditch		
900532543	21.5341320	83.3814709		ditch		
900532544	21.5313107	83.3827202		ditch		
900532545	21.5374174	83.3814179		ditch		
900532552	21.5388052	83.3787793		ditch		
900532553	21.5336899	83.3795156		ditch		
900532554	21.5290834	83.3815843		ditch		
900532555	21.5244432	83.3847210		ditch		
900535222	21.5157291	83.3580378		ditch		
900535223	21.5088486	83.3633924		ditch		
900535224	21.5098227	83.3622690		ditch		
900535225	21.5097479	83.3615139		ditch		
900535226	21.5096974	83.3617385		ditch		
900535227	21.5098658	83.3614736		ditch		
900535234	21.5083486	83.3544725		ditch		
900535235	21.5540304	83.3730580		ditch		
900535236	21.5540025	83.3731383		ditch		
900535237	21.5507441	83.3722882		ditch		
900535238	21.5474106	83.3715410		ditch		
900535239	21.5311438	83.3679459		ditch		
900535240	21.5271638	83.3738344		ditch		
902025111	21.6536113	83.6097502		ditch		
902025112	21.6540721	83.6074771		ditch		
902025113	21.6550917	83.6097329		ditch		
902025114	21.6533542	83.6064700		ditch		
902025115	21.6490852	83.6055828		ditch		
902025116	21.6447836	83.6047619		ditch		
902025117	21.6537231	83.6069648		ditch		
902025118	21.6498378	83.6153394		ditch		
902025119	21.6475131	83.6127330		ditch		
902025120	21.6428442	83.6068298		ditch		
902025121	21.6451646	83.6098044		ditch		
902100568	21.6470669	83.5303925		drain		
902100569	21.6468525	83.5301343		drain		
902100572	21.6492776	83.5332410		drain		
902100573	21.6489186	83.5327669		drain		
902100574	21.6482890	83.5319650		drain		
908553028	21.1512676	83.8151788		ditch		
908556766	21.2323584	83.7161248		ditch		
917182978	21.2783163	83.7446514		ditch		
917182979	21.2728994	83.7465611		ditch		
917183001	21.2875191	83.7534391		ditch		
917183008	21.2771285	83.7621689		ditch		
917183009	21.2805076	83.7622051		ditch		
917183010	21.2945331	83.7627147		ditch		
917584503	21.2506808	83.7158645		ditch		
922734156	21.4735797	83.7756041		ditch		
923046039	21.4888817	83.7975217		drain		
923046040	21.4886614	83.7986844		drain		
923046041	21.4896185	83.7973527		drain		
923046042	21.4893740	83.7965535		drain		
923046043	21.4890688	83.7983177		drain		
923046044	21.4865739	83.7962530		drain		
923046045	21.4889328	83.7990234		drain		
923046046	21.4893065	83.7985403		drain		
923046047	21.4898000	83.7979476		drain		
923046048	21.4844385	83.7979577		drain		
923046049	21.4856821	83.8010445		drain		
923046050	21.4840660	83.8014693		drain		
923046051	21.4840448	83.8010987		drain		
923046052	21.4854724	83.8007085		drain		
923046086	21.4892061	83.7984450		drain		
923046089	21.4847343	83.8011179		drain		
923314340	21.4675775	83.7728813		ditch		
923314341	21.4673631	83.7728384		ditch		
923462327	21.4651207	83.8003154		ditch		
924946003	21.4820238	83.6695089		ditch		
924946004	21.4821614	83.6694169		ditch		
924946062	21.4564237	83.6754913		ditch		
924946063	21.4535617	83.6766366		ditch		
924946064	21.4674627	83.6686107		ditch		
924946065	21.4675288	83.6686979		ditch		
924946066	21.4717110	83.6725593		ditch		
924946067	21.4717441	83.6725637		ditch		
924946068	21.4696237	83.6706472		ditch		
924946071	21.4715291	83.6734407		ditch		
924946072	21.4734070	83.6716474		ditch		
924946075	21.4752988	83.6699297		ditch		
924946076	21.4639925	83.6744720		ditch		
924946077	21.4786445	83.6697527		ditch		
925539980	21.3287129	83.6257611		ditch		
925539981	21.3281676	83.6255834		ditch		
925540064	21.3353311	83.6275275		ditch		
925858812	21.2297870	83.6534120		ditch		
927286259	21.4466853	83.7155616		ditch		
927286260	21.4469246	83.7153203		ditch		
927286261	21.4372392	83.7231971		ditch		
927286262	21.4385989	83.7134915		ditch		
927286263	21.4386017	83.7136385		ditch		
927286268	21.4350312	83.7108361		ditch		
929140184	21.4527506	83.7943708		ditch		
929140185	21.4464140	83.7925710		ditch		
932209921	21.1590598	83.3496948		ditch		
932209923	21.1751165	83.3472754		ditch		
932209924	21.1561777	83.3381801		ditch		
932209936	21.1176638	83.3284838		ditch		
933034762	21.1511153	83.2537797		ditch		
933034763	21.1505319	83.2543014		ditch		
933034764	21.1512892	83.2512148		ditch		
933034765	21.1525255	83.2498032		ditch		
933034766	21.1579081	83.2491723		ditch		
933034767	21.1609626	83.2458510		ditch		
933034768	21.1611374	83.2451640		ditch		
933034769	21.1611180	83.2451570		ditch		
933034770	21.1613227	83.2452770		ditch		
933034771	21.1594939	83.2475938		ditch		
933034772	21.1601612	83.2470586		ditch		
933034773	21.1607733	83.2465349		ditch		
933034774	21.1608693	83.2462091		ditch		
933034775	21.1610310	83.2455178		ditch		
933034776	21.1611004	83.2451932		ditch		
933034777	21.1612655	83.2437964		ditch		
933034778	21.1614125	83.2421319		ditch		
933034779	21.1615426	83.2410067		ditch		
933034780	21.1586960	83.2483797		ditch		
933050955	21.1766148	83.2495310		ditch		
933050956	21.1776828	83.2482395		ditch		
933050957	21.1735322	83.2534471		ditch		
933050958	21.1767436	83.2543328		ditch		
933050959	21.1703776	83.2564384		ditch		
933050960	21.1682260	83.2560870		ditch		
933050961	21.1692703	83.2564525		ditch		
933050964	21.1675157	83.2550912		ditch		
933050965	21.1676907	83.2568260		ditch		
933050966	21.1676171	83.2568375		ditch		
933050967	21.1706208	83.2592292		ditch		
933050968	21.1675472	83.2568303		ditch		
933050975	21.1585309	83.2729286		ditch		
933050976	21.1588598	83.2676976		ditch		
933050977	21.1587460	83.2790346		ditch		
933050978	21.1655071	83.2723787		ditch		
933050979	21.1636511	83.2779531		ditch		
933050982	21.1660586	83.2615922		ditch		
933050983	21.1658161	83.2642610		ditch		
933050984	21.1652964	83.2665691		ditch		
933050985	21.1651410	83.2683313		ditch		
933050986	21.1634577	83.2710939		ditch		
933050987	21.1649045	83.2691176		ditch		
933050988	21.1639612	83.2664380		ditch		
933050989	21.1645044	83.2687159		ditch		
933050990	21.1649500	83.2700680		ditch		
933050991	21.1650531	83.2712187		ditch		
933050992	21.1655390	83.2722976		ditch		
933050993	21.1666289	83.2725846		ditch		
933050997	21.1583821	83.2611805		ditch		
933050998	21.1585403	83.2605824		ditch		
933050999	21.1581295	83.2624519		ditch		
933051000	21.1582971	83.2618041		ditch		
933051003	21.1609285	83.2556451		ditch		
933051004	21.1596547	83.2547191		ditch		
933051005	21.1603122	83.2540954		ditch		
933051006	21.1570638	83.2573836		ditch		
933051007	21.1570007	83.2580444		ditch		
933051008	21.1551409	83.2741664		ditch		
933051009	21.1548570	83.2736139		ditch		
933051010	21.1556837	83.2657047		ditch		
933051011	21.1545374	83.2731767		ditch		
933051012	21.1555586	83.2798963		ditch		
933051013	21.1556706	83.2675072		ditch		
933051014	21.1569476	83.2618356		ditch		
933051015	21.1573102	83.2611289		ditch		
933051016	21.1574365	83.2605958		ditch		
933051017	21.1575447	83.2600567		ditch		
933051018	21.1571358	83.2614581		ditch		
933051019	21.1621372	83.2518525		ditch		
933051020	21.1649136	83.2567207		ditch		
933051021	21.1593170	83.2545247		ditch		
933051022	21.1615595	83.2481624		ditch		
933051023	21.1617170	83.2500252		ditch		
933051025	21.1616111	83.2467847		ditch		
933057726	21.1472541	83.3137639		ditch		
933547334	21.2211931	83.2611041		ditch		
933547335	21.2187233	83.2626624		ditch		
934482104	21.0391868	83.4460195		ditch		
934482105	21.0320982	83.4645925		ditch		
934482108	21.0240370	83.5332530		ditch		
934482109	21.0184916	83.5190199		ditch		
934482110	21.0152615	83.5108848		ditch		
934639980	21.1551525	83.7276488		ditch		
934639981	21.1855384	83.7154917		ditch		
934639982	21.1825454	83.7115985		ditch		
934639984	21.1827299	83.6943466		ditch		
934781939	21.1627232	83.7472049		ditch		
934781940	21.1648205	83.7491307		ditch		
934786226	21.1845943	83.7001159		ditch		
934786227	21.1835283	83.7058660		ditch		
937811881	21.1791384	83.8660843		ditch		
937811882	21.1774489	83.8683663		ditch		
937811883	21.1905748	83.8571908		ditch		
937814834	21.2023712	83.8785747		ditch		
937814835	21.2010697	83.8805676		ditch		
937814838	21.2051888	83.8700124		ditch		
939056315	21.2301765	83.7850039		ditch		
939056316	21.2299570	83.7845171		ditch		
939056317	21.2308058	83.7867326		ditch		
939056318	21.2330241	83.7886874		ditch		
939056320	21.2330711	83.7887802		ditch		
939313633	19.0006418	83.0002952		ditch		
939525470	21.2319899	83.7676709		ditch		
939533962	21.2200316	83.7687618		ditch		
939533963	21.2261023	83.7706738		ditch		
939533964	21.2299473	83.7720421		ditch		
939533965	21.2366125	83.7754549		ditch		
940402026	21.1720816	83.8205559		ditch		
940402027	21.1662568	83.8385159		ditch		
940402028	21.1779409	83.8219433		ditch		
940969818	21.3931064	83.6810381		ditch		
940969827	21.4021780	83.6577699		ditch		
940969828	21.4015636	83.6579490		ditch		
940969833	21.4079870	83.6593900		ditch		
942703857	21.0905482	82.8171781		ditch		
942703858	21.0980882	82.8084994		ditch		
942703859	21.0936744	82.8132805		ditch		
942703860	21.0977975	82.8060090		ditch		
942703861	21.0978953	82.8058673		ditch		
942703862	21.0977597	82.8072207		ditch		
948223814	20.9041091	83.2294581		ditch		
948223815	20.9045489	83.2294419		ditch		
948223816	20.9048878	83.2294265		ditch		
948223817	20.9085133	83.2259423		ditch		
948223818	20.9010935	83.2312350		ditch		
948223819	20.9025549	83.2303298		ditch		
948223820	20.9010603	83.2312585		ditch		
948223821	20.9059727	83.2339313		ditch		
948223822	20.9049203	83.2338964		ditch		
948223823	20.9069737	83.2340433		ditch		
948223824	20.9038923	83.2338541		ditch		
948223825	20.9038623	83.2338481		ditch		
948223826	20.9044543	83.2378896		ditch		
948223827	20.9044072	83.2378365		ditch		
948223828	20.8967980	83.2334760		ditch		
948223829	20.8969966	83.2330770		ditch		
948223830	20.8971890	83.2326921		ditch		
948223831	20.9007934	83.2344013		ditch		
948223832	20.8956178	83.2349109		ditch		
948223833	20.8962204	83.2342237		ditch		
948223834	20.8938762	83.2359503		ditch		
948223835	20.8935793	83.2365003		ditch		
948223836	20.8947345	83.2353844		ditch		
949116718	20.8683951	82.9574453		ditch		
949116719	20.8683063	82.9574323		ditch		
949116720	20.8704962	82.9590088		ditch		
949116721	20.8593557	82.9670092		ditch		
949116722	20.8580956	82.9695493		ditch		
949116723	20.8627092	82.9624133		ditch		
949116724	20.8630927	82.9623449		ditch		
949116725	20.8634780	82.9622799		ditch		
949116726	20.8641510	82.9618514		ditch		
949116727	20.8650413	82.9599722		ditch		
949116728	20.8650608	82.9598556		ditch		
949116729	20.8647670	82.9613498		ditch		
949116730	20.8649067	82.9606558		ditch		
949116731	20.8609936	82.9646905		ditch		
949172595	20.8646109	82.9621914		ditch		
949172596	20.8646121	82.9621109		ditch		
949172597	20.8654834	82.9735052		ditch		
949172598	20.8650173	82.9734780		ditch		
949172599	20.8662018	82.9723998		ditch		
949172600	20.8664280	82.9718715		ditch		
949172601	20.8665814	82.9712522		ditch		
949172602	20.8664148	82.9704971		ditch		
949172603	20.8662625	82.9697753		ditch		
949172604	20.8659022	82.9683544		ditch		
949172605	20.8655257	82.9668946		ditch		
